algorithm,parameters,count,k-nn,epsilon,largeepsilon,rel,qps,p50,p95,p99,p999,distcomps,build,candidates,indexsize,queriessize,dataset
milvus-scann,"MilvusSCANN metric:angular, nlist:8192, nprobe:200",2,0.41065,0.4238,0.65795,0.015548198822285784,668.2853806406849,1.4560222625732422,1.7729282379150384,2.026357650756837,3.5851988792419633,0.0,521.4927473068237,2.0,0.006504058837890625,9.73245716022575e-06,glove-50-angular
milvus-scann,"MilvusSCANN metric:angular, nlist:4096, nprobe:50",2,0.4011,0.4165,0.64645,0.01559822265599135,789.3021443205312,1.264810562133789,1.5168428421020503,1.7564392089843752,3.4463028907776287,0.0,269.4259777069092,2.0,0.006137847900390625,7.776297004329535e-06,glove-50-angular
milvus-scann,"MilvusSCANN metric:angular, nlist:1024, nprobe:50",2,0.4065,0.4195,0.655,0.015567714981956485,741.0677376044954,1.3473033905029297,1.634848117828369,1.8897128105163576,3.5616900920868315,0.0,82.6743016242981,2.0,0.004848480224609375,6.542560117759421e-06,glove-50-angular
milvus-scann,"MilvusSCANN metric:angular, nlist:4096, nprobe:200",2,0.40715,0.42325,0.6539,0.015552011102133717,646.7327169238193,1.5032291412353516,1.8105506896972656,2.113351821899414,4.027939081192036,0.0,269.4259777069092,2.0,0.006137847900390625,9.49054801121747e-06,glove-50-angular
milvus-scann,"MilvusSCANN metric:angular, nlist:8192, nprobe:50",2,0.40235,0.4154,0.65105,0.01559181301952284,790.0359911220254,1.2371540069580078,1.4684200286865234,1.6934943199157717,3.7820954322816522,0.0,521.4927473068237,2.0,0.006504058837890625,8.232610806317097e-06,glove-50-angular
milvus-scann,"MilvusSCANN metric:angular, nlist:2048, nprobe:50",2,0.39615,0.4115,0.64815,0.015606113020906559,766.5486059028482,1.2989044189453125,1.5783309936523438,1.850130558013916,3.343830347061159,0.0,141.5094039440155,2.0,0.00453948974609375,5.921985522036266e-06,glove-50-angular
milvus-scann,"MilvusSCANN metric:angular, nlist:8192, nprobe:100",2,0.4072,0.4203,0.6552,0.015567794493675737,746.0906766041446,1.3186931610107422,1.5974879264831532,1.873018741607666,4.207910060882581,0.0,521.4927473068237,2.0,0.006504058837890625,8.717517912828043e-06,glove-50-angular
milvus-scann,"MilvusSCANN metric:angular, nlist:2048, nprobe:100",2,0.3993,0.4151,0.6507,0.015589586250910784,692.1312917171124,1.4157295227050781,1.7042279243469236,2.0041871070861825,3.748336553573641,0.0,141.5094039440155,2.0,0.00453948974609375,6.558711909747216e-06,glove-50-angular
milvus-scann,"MilvusSCANN metric:angular, nlist:1024, nprobe:200",2,0.4112,0.4245,0.658,0.015542805486924717,584.3052903978364,1.730203628540039,2.1326541900634766,2.452378273010254,4.105186223983784,0.0,82.6743016242981,2.0,0.004848480224609375,8.297854399552307e-06,glove-50-angular
milvus-scann,"MilvusSCANN metric:angular, nlist:1024, nprobe:100",2,0.41025,0.4235,0.6573,0.015549743116851016,668.8773102083771,1.4600753784179688,1.6770720481872554,1.9457364082336426,3.4391546249390066,0.0,82.6743016242981,2.0,0.004848480224609375,7.248683952366265e-06,glove-50-angular
milvus-scann,"MilvusSCANN metric:angular, nlist:2048, nprobe:200",2,0.4013,0.4168,0.65295,0.01557950346060213,621.6127874593301,1.6393661499023438,2.0666122436523438,2.353198528289795,3.311537742614775,0.0,141.5094039440155,2.0,0.00453948974609375,7.302761200662644e-06,glove-50-angular
milvus-scann,"MilvusSCANN metric:angular, nlist:4096, nprobe:100",2,0.405,0.42055,0.6511,0.015568540777429085,727.6441720516066,1.3432502746582031,1.6083955764770503,1.8663430213928223,3.47107911109928,0.0,269.4259777069092,2.0,0.006137847900390625,8.435232681222261e-06,glove-50-angular
redisearch-hnsw,"Redisearch metric:angular, M:8, ef_construction: 256, ef:120)",2,0.851,0.864,0.9648,0.01443107078899671,2463.924827659658,0.3943443298339844,0.49258470535278304,0.6523728370666517,1.5127844810485878,0.0,717.2504217624664,2.0,0.00035858154296875,1.455326635550591e-07,glove-50-angular
redisearch-hnsw,"Redisearch metric:angular, M:1, ef_construction: 512, ef:80)",2,0.0,0.0,0.0,inf,12956.355629582586,0.07510185241699219,0.08225440979003906,0.0939393043518067,0.7169287204742439,0.0,18.686721801757812,0.0,0.00035858154296875,2.767611149465665e-08,glove-50-angular
redisearch-hnsw,"Redisearch metric:angular, M:1, ef_construction: 512, ef:400)",2,0.0,0.0,0.0,inf,12936.654467078693,0.07486343383789062,0.08344650268554688,0.09369850158691406,0.7579507827758826,0.0,18.686721801757812,0.0,0.00035858154296875,2.7718259298126213e-08,glove-50-angular
redisearch-hnsw,"Redisearch metric:angular, M:24, ef_construction: 128, ef:80)",2,0.9365,0.9463,0.9939,0.014186409792685465,2075.637190267996,0.4837512969970703,0.5936741828918455,0.7837605476379411,1.5070681571960498,0.0,678.2986147403717,2.0,0.00035858154296875,1.7275733189308083e-07,glove-50-angular
redisearch-hnsw,"Redisearch metric:angular, M:16, ef_construction: 512, ef:40)",2,0.85275,0.8667,0.97185,0.014373311672499636,3272.706815358822,0.30159950256347656,0.3724098205566406,0.42678833007812544,0.9856369495391876,0.0,1942.1130805015564,2.0,0.000301361083984375,9.208312903865589e-08,glove-50-angular
redisearch-hnsw,"Redisearch metric:angular, M:8, ef_construction: 128, ef:400)",2,0.92,0.9304,0.98915,0.014243086737636008,1118.8642254502195,0.8835792541503906,1.0330677032470703,1.6219854354858403,2.9726290702819878,0.0,423.0112199783325,2.0,0.00035858154296875,3.2048709290393166e-07,glove-50-angular
redisearch-hnsw,"Redisearch metric:angular, M:1, ef_construction: 256, ef:20)",2,0.0,0.0,0.0,inf,13130.424438225109,0.07367134094238281,0.07987022399902344,0.0896453857421875,0.20044445991519635,0.0,18.623681783676147,0.0,0.00035858154296875,2.7309211873216556e-08,glove-50-angular
redisearch-hnsw,"Redisearch metric:angular, M:1, ef_construction: 512, ef:200)",2,0.0,0.0,0.0,inf,12890.534288364384,0.07510185241699219,0.08344650268554688,0.09226799011230469,0.7369754314422655,0.0,18.686721801757812,0.0,0.00035858154296875,2.7817430600407537e-08,glove-50-angular
redisearch-hnsw,"Redisearch metric:angular, M:12, ef_construction: 128, ef:20)",2,0.7021,0.71695,0.874,0.01499855837161234,4956.164051083311,0.19097328186035156,0.23865699768066406,0.28062105178833013,0.8320891857147233,0.0,483.9528317451477,2.0,0.000301361083984375,6.080530847611954e-08,glove-50-angular
redisearch-hnsw,"Redisearch metric:angular, M:2, ef_construction: 256, ef:400)",2,0.3937,0.4071,0.60385,0.01683991992420597,1528.8186394463846,0.6322860717773438,0.9582042694091797,1.440572738647462,2.2156479358673145,0.0,484.5824751853943,2.0,0.000301361083984375,1.971202314052789e-07,glove-50-angular
redisearch-hnsw,"Redisearch metric:angular, M:4, ef_construction: 256, ef:40)",2,0.45505,0.4661,0.6085,0.017345885052676296,4597.169098784512,0.20837783813476562,0.2734661102294922,0.3101849555969239,0.914813280105591,0.0,624.9571259021759,2.0,0.000301361083984375,6.555362169820001e-08,glove-50-angular
redisearch-hnsw,"Redisearch metric:angular, M:12, ef_construction: 128, ef:80)",2,0.8708,0.88365,0.975,0.014353022105013847,2918.902630614731,0.3352165222167969,0.41056871414184554,0.46944618225097656,1.411217689514164,0.0,483.9528317451477,2.0,0.000301361083984375,1.0324465119992965e-07,glove-50-angular
